,ID,Area,City,Restaurant,price,avg_ratings,total_ratings,food_type,Address,delivery_time,Price_range,Rating_range,Delivery_range,primary_cuisine,num_of_cuisines,popularity_scores,Pop_bracket
8308,406542,Vastrapur,Ahmedabad,Akkad Bakkad Bombay Boo,250.0,2.9,80,Fast Food,Vastrapur,49,mid range,below avg rated,Moderate,Fast Food,1,12.743902548550073,Medium Popularity
8309,406713,Kondhwa,Pune,Lavaza Restaurant,225.0,2.9,80,"Fast Food,Indian,Beverages",Kondhwa,73,mid range,below avg rated,slow ,Fast Food,3,12.743902548550073,Medium Popularity
8310,406926,Paldi & Ambawadi,Ahmedabad,Sale & Pepe Pizzeria Neapolitan,700.0,2.9,80,Italian,Paldi & Ambawadi,38,premium,below avg rated,Fast Delivery,Italian,1,12.743902548550073,Medium Popularity
8311,406947,Scruz Bandra East,Mumbai,A -1 Panipuri Center,60.0,2.9,80,"Chaat,Snacks",Scruz Bandra East,46,budget,below avg rated,Moderate,Chaat,2,12.743902548550073,Medium Popularity
8312,407008,Nallakunta & Vidyanagar,Hyderabad,Polpat,300.0,2.9,80,Indian,Nallakunta & Vidyanagar,50,mid range,below avg rated,Moderate,Indian,1,12.743902548550073,Medium Popularity
8313,407058,Camp,Pune,Mayas Kitchen,199.0,4.2,20,"Indian,Salads",Camp,47,budget,High rated,Moderate,Indian,2,12.786994238438377,Medium Popularity
8314,407297,Vastrapur,Ahmedabad,Aesh Cafe,200.0,2.9,80,"Continental,Italian,Pizzas,Snacks",Vastrapur,47,mid range,below avg rated,Moderate,Continental,4,12.743902548550073,Medium Popularity
8315,407616,Navrangpura,Ahmedabad,La Pinoz Pizza Navrangpura,250.0,4.2,100,"Pizzas,Italian,Snacks,Desserts,Beverages",Navrangpura,39,mid range,High rated,Fast Delivery,Pizzas,5,19.38350617073329,Medium Popularity
8316,407703,Piplod,Surat,Italian Roots,250.0,2.9,80,"Italian,Pizzas,Snacks",Piplod,69,mid range,below avg rated,slow ,Italian,3,12.743902548550073,Medium Popularity
8317,407838,Ghatkopar Vikhroli,Mumbai,Mummas Yummy Bites,300.0,2.9,80,"Italian,Pizzas,Snacks",Ghatkopar Vikhroli,51,mid range,below avg rated,Moderate,Italian,3,12.743902548550073,Medium Popularity
8318,407889,Vastrapur,Ahmedabad,Chow Chow Asian Kitchen,250.0,2.9,80,Chinese,Vastrapur,49,mid range,below avg rated,Moderate,Chinese,1,12.743902548550073,Medium Popularity
8319,408241,Maninagar,Ahmedabad,Er. Momo'S,200.0,2.9,80,"Chinese,Fast Food,Beverages,Combo",Maninagar,56,mid range,below avg rated,slow ,Chinese,4,12.743902548550073,Medium Popularity
8320,408694,Wanowrie,Pune,Proper Pakoda,100.0,2.9,80,Snacks,Wanowrie,62,budget,below avg rated,slow ,Snacks,1,12.743902548550073,Medium Popularity
8321,408751,Begumpet,Hyderabad,Vijju Ki Bandi,200.0,4.0,20,South Indian  Chaat  Sweets,Begumpet,61,mid range,avg rated,slow ,South Indian  Chaat  Sweets,1,12.178089750893692,Medium Popularity
8322,408977,Santoshnagar & Saidabad,Hyderabad,Sri Sai Ram Darshini Tiffins And Meals,150.0,3.9,100,South Indian,Santoshnagar & Saidabad,43,budget,avg rated,Moderate,South Indian,1,17.99897001568091,Medium Popularity
